source,target,source_id_lab,target_id_lab,weight,weight_recs,weight_tfidf
16,23,FMA:14926 Superior part of Duodenum,CL:0000057,1,1,0.009096083
16,25,FMA:14926 Superior part of Duodenum,CL:0000097,1,1,0
16,26,FMA:14926 Superior part of Duodenum,CL:0000131,1,1,0.008096072
16,31,FMA:14926 Superior part of Duodenum,CL:0000236,1,1,0
16,34,FMA:14926 Superior part of Duodenum,CL:0000576,1,1,0.00158253
16,35,FMA:14926 Superior part of Duodenum,CL:0000624,1,1,0.001069277
16,36,FMA:14926 Superior part of Duodenum,CL:0000625,1,1,0.001625301
16,41,FMA:14926 Superior part of Duodenum,CL:0000775,1,1,0.001152938
16,43,FMA:14926 Superior part of Duodenum,CL:0000786,1,1,0
16,59,FMA:14926 Superior part of Duodenum,CL:0009006,1,1,0.006146779
16,62,FMA:14926 Superior part of Duodenum,CL:0009012,1,1,0.000910634
16,64,FMA:14926 Superior part of Duodenum,CL:0009017,1,1,0.000422325
16,65,FMA:14926 Superior part of Duodenum,CL:0009080,1,1,0.01491163
16,72,FMA:14926 Superior part of Duodenum,CL:1000334,1,1,1.142390221
16,73,FMA:14926 Superior part of Duodenum,CL:1000343,1,1,0.050084864
16,75,FMA:14926 Superior part of Duodenum,CL:1000495,1,1,0.109617555
17,23,FMA:14928 Descending part of Duodenum,CL:0000057,1,1,0.005267796
17,25,FMA:14928 Descending part of Duodenum,CL:0000097,1,1,0
17,26,FMA:14928 Descending part of Duodenum,CL:0000131,1,1,0.005035163
17,31,FMA:14928 Descending part of Duodenum,CL:0000236,1,1,0
17,34,FMA:14928 Descending part of Duodenum,CL:0000576,1,1,0.000947713
17,35,FMA:14928 Descending part of Duodenum,CL:0000624,1,1,0.000628507
17,36,FMA:14928 Descending part of Duodenum,CL:0000625,1,1,0.000890875
17,41,FMA:14928 Descending part of Duodenum,CL:0000775,1,1,0.000872109
17,43,FMA:14928 Descending part of Duodenum,CL:0000786,1,1,0
17,59,FMA:14928 Descending part of Duodenum,CL:0009006,1,1,0.005821396
17,62,FMA:14928 Descending part of Duodenum,CL:0009012,1,1,0.000830045
17,64,FMA:14928 Descending part of Duodenum,CL:0009017,1,1,0.000880568
17,65,FMA:14928 Descending part of Duodenum,CL:0009080,1,1,0.018489479
17,72,FMA:14928 Descending part of Duodenum,CL:1000334,1,1,1.177088966
17,73,FMA:14928 Descending part of Duodenum,CL:1000343,1,1,0.055353779
17,75,FMA:14928 Descending part of Duodenum,CL:1000495,1,1,0.102565804
18,23,FMA:14929 Horizontal part of Duodenum,CL:0000057,1,1,0.007525492
18,25,FMA:14929 Horizontal part of Duodenum,CL:0000097,1,1,0
18,26,FMA:14929 Horizontal part of Duodenum,CL:0000131,1,1,0.005860989
18,31,FMA:14929 Horizontal part of Duodenum,CL:0000236,1,1,0
18,34,FMA:14929 Horizontal part of Duodenum,CL:0000576,1,1,0.00165051
18,35,FMA:14929 Horizontal part of Duodenum,CL:0000624,1,1,0.002948488
18,36,FMA:14929 Horizontal part of Duodenum,CL:0000625,1,1,0.004291852
18,41,FMA:14929 Horizontal part of Duodenum,CL:0000775,1,1,0.001553231
18,43,FMA:14929 Horizontal part of Duodenum,CL:0000786,1,1,0
18,59,FMA:14929 Horizontal part of Duodenum,CL:0009006,1,1,0.008636183
