"id","id_lab","label","tool","type","partOf","records","cell_count"
0,"FMA:7267 Posteromedial Head of Posterior Papillary Muscle Of Left Ventricle","Posteromedial Head of Posterior Papillary Muscle Of Left Ventricle","CellTypist","Anatomical Structure","Heart",93,17191.42
1,"UBERON:0002078 Right Cardiac Atrium","Right Cardiac Atrium","CellTypist","Anatomical Structure","Heart",94,109170.2055
2,"UBERON:0002079 Left Cardiac Atrium","Left Cardiac Atrium","CellTypist","Anatomical Structure","Heart",95,159502.1965
3,"UBERON:0002080 Right Ventricle","Right Ventricle","CellTypist","Anatomical Structure","Heart",97,292035.165
4,"UBERON:0002084 Left Ventricle","Left Ventricle","CellTypist","Anatomical Structure","Heart",97,3332042.5765
5,"UBERON:0002094 Interventricular Septum","Interventricular Septum","CellTypist","Anatomical Structure","Heart",95,141834.566
6,"UBERON:0001052 Rectum","Rectum","CellTypist","Anatomical Structure","Large Intestine",133,193.848
7,"UBERON:0001153 Caecum","Caecum","CellTypist","Anatomical Structure","Large Intestine",131,871.56
8,"UBERON:0001156 Ascending Colon","Ascending Colon","CellTypist","Anatomical Structure","Large Intestine",134,6710.07
9,"UBERON:0001157 Transverse Colon","Transverse Colon","CellTypist","Anatomical Structure","Large Intestine",132,5208.491
10,"UBERON:0001158 Descending Colon","Descending Colon","CellTypist","Anatomical Structure","Large Intestine",132,12653.829
11,"UBERON:0001159 Sigmoid Colon","Sigmoid Colon","CellTypist","Anatomical Structure","Large Intestine",133,4148.987
12,"FMA:7360 Medial Bronchopulmonary Segment","Medial Bronchopulmonary Segment","CellTypist","Anatomical Structure","Lung",79,1380050.015
13,"FMA:7361 Lateral Bronchopulmonary Segment","Lateral Bronchopulmonary Segment","CellTypist","Anatomical Structure","Lung",79,557609.384
14,"FMA:7385 Left Apical Bronchopulmonary Segment","Left Apical Bronchopulmonary Segment","CellTypist","Anatomical Structure","Lung",79,61712
15,"FMA:7402 Lateral Segmental Bronchus","Lateral Segmental Bronchus","CellTypist","Anatomical Structure","Lung",79,13739.926
16,"FMA:14926 Superior part of Duodenum","Superior part of Duodenum","CellTypist","Anatomical Structure","Small Intestine",124,324.948
17,"FMA:14928 Descending part of Duodenum","Descending part of Duodenum","CellTypist","Anatomical Structure","Small Intestine",131,3175.956
18,"FMA:14929 Horizontal part of Duodenum","Horizontal part of Duodenum","CellTypist","Anatomical Structure","Small Intestine",133,3801.142
19,"FMA:14930 Ascending part of Duodenum","Ascending part of Duodenum","CellTypist","Anatomical Structure","Small Intestine",133,1678.413
