,source, target, distance,Unnamed: 3,in_hra_pop
0,Allen_pulvinar_of_thalamus_L,Allen_thalamus_L,-1,,False
1,Allen_precuneus_L,Allen_supraparietal_lobule_L,-1,,False
2,Allen_postcentral_gyrus_L,Allen_white_matter_of_forebrain_L,-1,,False
3,Allen_fornix_L,Allen_white_matter_of_forebrain_L,-1,,False
4,Allen_planum_temporale_L,Allen_white_matter_of_forebrain_L,-1,,False
5,Allen_superior_occipital_gyrus_L,Allen_white_matter_of_forebrain_L,-1,,False
6,Allen_habenular_nuclei_L,Allen_thalamus_L,-1,,False
7,Allen_mediodorsal_nucleus_of_thalamus_L,Allen_midline_nuclear_complex_L,-1,,False
8,Allen_mediodorsal_nucleus_of_thalamus_L,Allen_pulvinar_of_thalamus_L,-1,,False
9,Allen_postcentral_gyrus_L,Allen_supramarginal_gyrus_L,-1,,False
10,Allen_lateral_posterior_nucleus_of_thalamus_L,Allen_thalamus_L,-1,,False
11,Allen_white_matter_of_forebrain_L,Allen_zona_incerta_L,-1,,False
12,Allen_lateral_posterior_nucleus_of_thalamus_L,Allen_ventral_lateral_nucleus_of_thalamus_L,-1,,False
13,Allen_parietal_operculum_L,Allen_supramarginal_gyrus_L,-1,,False
14,Allen_paracentral_lobule_rostral_part_L,Allen_white_matter_of_forebrain_L,-1,,False
15,Allen_mammillothalamic_tract_L,Allen_thalamus_L,-1,,False
16,Allen_cingulate_gyrus_caudal_posterior_part_L,Allen_paracentral_lobule_rostral_part_L,-1,,False
17,Allen_paracentral_lobule_caudal_part_L,Allen_postcentral_gyrus_L,-1,,False
18,Allen_lateral_dorsal_nucleus_of_thalamus_L,Allen_thalamus_L,-1,,False
19,Allen_angular_gyrus_L,Allen_supraparietal_lobule_L,-1,,False
20,Allen_postcentral_gyrus_L,Allen_primary_motor_cortex_L,-1,,False
21,Allen_parietal_operculum_L,Allen_postcentral_gyrus_L,-1,,False
22,Allen_body_of_caudate_L,Allen_body_of_lateral_ventricle_L,-1,,False
23,Allen_cingulate_gyrus_caudal_posterior_part_L,Allen_white_matter_of_forebrain_L,-1,,False
24,Allen_thalamus_L,Allen_tuberal_region_of_HTH_L,-1,,False
25,Allen_paracentral_lobule_caudal_part_L,Allen_paracentral_lobule_rostral_part_L,-1,,False
26,Allen_paracentral_lobule_rostral_part_L,Allen_primary_motor_cortex_L,-1,,False
