gene_label,in_hra,in_hra_pop,in_kpmp,in_mosdap,all_four
A1BG,0,1,0,0,False
A1CF,0,1,0,0,False
A2M,1,1,0,0,False
A2M-AS1,0,1,0,0,False
A2MP1,0,1,0,0,False
A4GALT,0,1,0,0,False
AAAS,0,1,0,0,False
AACS,0,1,0,0,False
AADAC,0,1,0,0,False
AADACL2,0,1,0,0,False
AAGAB,0,1,0,0,False
AAK1,0,1,0,0,False
AAMDC,0,1,0,0,False
AAMP,0,1,0,0,False
AANAT,0,1,0,0,False
AAR2,0,1,0,0,False
AARD,0,1,0,0,False
AARS1,0,1,0,0,False
AARSD1,0,1,0,0,False
AASDH,0,1,0,0,False
AASDHPPT,0,1,0,0,False
AASS,0,1,0,0,False
AATBC,0,1,0,0,False
AATF,0,1,0,0,False
AATK,0,1,0,0,False
ABAT,0,1,0,0,False
ABC10-43608400O15.1,1,0,0,0,False
ABCA1,1,1,0,0,False
ABCA10,0,1,0,0,False
ABCA12,0,1,0,0,False
ABCA13,1,1,0,0,False
ABCA2,0,1,0,0,False
ABCA3,1,1,0,0,False
ABCA4,1,1,0,0,False
ABCA5,0,1,1,0,False
ABCA6,0,1,0,0,False
ABCA7,0,1,0,0,False
ABCA8,1,1,0,0,False
ABCA9,0,1,0,1,False
ABCA9-AS1,0,1,0,0,False
ABCB1,0,1,0,0,False
ABCB10,0,1,0,0,False
ABCB11,1,1,0,0,False
ABCB4,0,1,0,0,False
ABCB5,0,1,0,0,False
ABCB7,0,1,0,0,False
ABCB8,0,1,0,0,False
ABCB9,0,1,0,0,False
ABCC1,0,1,0,0,False
ABCC10,0,1,0,0,False
ABCC11,0,1,0,0,False
ABCC13,0,1,0,0,False
ABCC2,0,1,0,0,False
ABCC3,0,1,0,0,False
ABCC4,0,1,0,0,False
ABCC5,0,1,0,0,False
ABCC6,0,1,0,0,False
ABCC8,0,1,0,0,False
ABCC9,1,1,0,1,False
ABCD1,0,1,0,0,False
ABCD2,0,1,0,0,False
ABCD3,0,1,0,0,False
ABCD4,0,1,0,0,False
ABCE1,0,1,0,0,False
ABCF1,0,1,0,0,False
ABCF2,0,1,0,0,False
ABCF3,0,1,0,0,False
ABCG1,0,1,0,0,False
ABCG2,1,1,0,0,False
ABCG5,0,1,0,0,False
ABCG8,0,1,0,0,False
ABHD10,0,1,0,0,False
ABHD11,0,1,0,0,False
ABHD12,0,1,0,0,False
ABHD13,0,1,0,0,False
ABHD14A,0,1,0,0,False
ABHD14A-ACY1,0,1,0,0,False
ABHD14B,0,1,0,0,False
ABHD15,0,1,0,0,False
ABHD15-AS1,0,1,0,0,False
ABHD16A,0,1,0,0,False
ABHD17A,0,1,0,0,False
ABHD17B,0,1,0,0,False
ABHD18,0,1,0,0,False
ABHD2,0,1,0,0,False
ABHD3,0,1,0,0,False
ABHD4,0,1,0,0,False
ABHD5,0,1,0,0,False
ABHD6,0,1,0,0,False
ABHD8,0,1,0,0,False
ABI1,0,1,0,0,False
ABI2,0,1,0,0,False
ABI3,0,1,0,0,False
ABI3BP,1,1,0,0,False
ABITRAM,0,1,0,0,False
ABL1,0,1,0,0,False
ABL2,0,1,0,0,False
ABLIM1,1,1,0,0,False
ABLIM2,0,1,0,0,False
ABLIM3,0,1,0,0,False
ABO,0,1,0,0,False
ABR,0,1,0,0,False
ABRACL,0,1,0,0,False
ABRAXAS1,0,1,0,0,False
ABRAXAS2,0,1,0,0,False
ABT1,0,1,0,0,False
ABTB1,0,1,0,0,False
ABTB2,0,1,0,0,False
ABTB3,0,1,0,0,False
AC002066.1,1,0,0,0,False
AC003099.2,1,0,0,0,False
AC004538.3,1,0,0,0,False
AC004862.6,1,0,0,0,False
AC005150.1,1,0,0,0,False
AC007682.1,1,0,0,0,False
AC010091.1,1,0,0,0,False
AC011288.2,1,0,0,0,False
AC018717.1,1,0,0,0,False
AC064875.2,1,0,0,0,False
AC067959.1,1,0,0,0,False
AC079135.1,1,0,0,0,False
AC084149.2,1,0,0,0,False
AC092684.1,1,0,0,0,False
AC114765.1,1,0,0,0,False
AC133680.1,1,0,0,0,False
ACAA1,0,1,0,0,False
ACAA2,0,1,0,0,False
ACAA2P1,0,1,0,0,False
ACACA,0,1,0,0,False
ACACB,0,1,0,0,False
ACAD10,0,1,0,0,False
ACAD11,0,1,0,0,False
ACAD8,0,1,0,0,False
ACAD9,0,1,0,0,False
ACADL,0,1,0,0,False
ACADM,0,1,0,0,False
ACADS,0,1,0,0,False
ACADSB,0,1,0,0,False
ACADVL,0,1,0,0,False
ACAN,1,1,0,1,False
ACAP1,0,1,0,0,False
ACAP2,0,1,0,0,False
ACAP3,0,1,0,0,False
ACAT1,0,1,0,0,False
ACAT2,0,1,0,0,False
ACBD3,0,1,0,0,False
ACBD4,0,1,0,0,False
ACBD5,0,1,0,0,False
ACBD6,0,1,0,0,False
ACCS,0,1,0,0,False
ACD,0,1,0,0,False
ACE,0,1,0,0,False
ACE2,0,1,0,0,False
ACE2-DT,0,1,0,0,False
ACER1,0,1,0,1,False
ACER2,0,1,0,0,False
ACER3,0,1,0,0,False
ACHE,0,1,0,0,False
ACIN1,0,1,0,0,False
ACKR1,1,1,0,1,False
ACKR2,0,1,0,0,False
ACKR3,0,1,0,0,False
ACKR4,1,1,0,0,False
ACLY,0,1,0,0,False
ACMSD,0,1,0,0,False
ACO1,0,1,0,0,False
ACO2,0,1,0,0,False
ACOT11,0,1,0,0,False
ACOT12,0,1,0,0,False
ACOT13,0,1,0,0,False
ACOT2,0,1,0,0,False
ACOT4,0,1,0,0,False
ACOT7,0,1,0,0,False
ACOT8,0,1,0,0,False
ACOT9,0,1,0,0,False
ACOX1,0,1,0,0,False
ACOX2,0,1,0,0,False
ACOX3,0,1,0,0,False
ACOXL,0,1,0,0,False
ACOXL-AS1,0,1,0,0,False
ACP1,0,1,0,0,False
ACP2,0,1,0,0,False
ACP3,1,1,0,0,False
ACP5,0,1,0,0,False
ACRBP,0,1,0,0,False
ACSBG1,0,1,0,0,False
ACSF2,0,1,0,0,False
ACSF3,0,1,0,0,False
ACSL1,0,1,0,0,False
ACSL3,0,1,0,0,False
ACSL4,0,1,0,0,False
ACSL5,0,1,0,0,False
ACSL6,0,1,0,0,False
ACSM1,0,1,0,0,False
ACSM2A,1,1,1,0,False
ACSM2B,0,1,1,0,False
ACSM3,0,1,0,0,False
ACSM5,0,1,0,0,False
ACSM5P1,0,1,0,0,False
ACSM6,0,1,0,0,False
ACSS1,0,1,0,0,False
ACSS2,0,1,0,0,False
ACTA1,1,1,0,0,False
ACTA2,1,1,1,1,True
ACTA2-AS1,1,1,0,0,False
ACTB,0,1,0,0,False
ACTBP2,0,1,0,0,False
ACTC1,0,1,0,0,False
ACTG1,1,1,0,0,False
ACTG1P1,0,1,0,0,False
ACTG1P9,0,1,0,0,False
ACTG2,1,1,0,1,False
ACTL6A,0,1,0,0,False
ACTL6B,0,1,0,0,False
ACTL8,0,1,0,0,False
ACTN1,1,1,0,0,False
ACTN1-DT,0,1,0,0,False
ACTN2,0,1,0,0,False
ACTN4,0,1,0,0,False
ACTR10,0,1,0,0,False
ACTR1A,0,1,0,0,False
ACTR1B,0,1,0,0,False
ACTR2,0,1,0,0,False
ACTR3,0,1,0,0,False
ACTR3B,0,1,0,0,False
ACTR3C,0,1,0,0,False
ACTR5,0,1,0,0,False
ACTR6,0,1,0,0,False
ACTR8,0,1,0,0,False
ACVR1,0,1,0,0,False
ACVR1B,0,1,0,0,False
ACVR1C,1,1,0,0,False
ACVR2A,0,1,0,0,False
ACVR2B,0,1,0,0,False
ACVRL1,0,1,0,0,False
ACY1,0,1,0,0,False
ACY3,0,1,0,0,False
ACYP1,0,1,0,0,False
ACYP2,0,1,0,0,False
ADA,1,1,0,0,False
ADA2,0,1,0,0,False
ADAD1P1,0,1,0,0,False
ADAL,0,1,0,0,False
ADAM10,0,1,0,0,False
ADAM12,0,1,0,0,False
ADAM15,0,1,0,0,False
ADAM17,0,1,0,0,False
ADAM19,0,1,0,0,False
ADAM23,0,1,0,0,False
ADAM28,1,1,0,0,False
ADAM32,0,1,0,0,False
ADAM33,1,1,0,0,False
ADAM7-AS1,0,1,0,0,False
ADAM8,0,1,0,0,False
ADAM9,0,1,0,0,False
ADAMDEC1,0,1,0,0,False
ADAMTS1,0,1,0,0,False
ADAMTS12,1,1,0,0,False
ADAMTS15,0,1,0,0,False
ADAMTS16,1,1,0,0,False
ADAMTS17,1,1,0,0,False
ADAMTS18,0,1,0,0,False
ADAMTS19,0,1,0,0,False
ADAMTS19-AS1,0,1,0,0,False
ADAMTS2,0,1,0,0,False
ADAMTS20,1,0,0,0,False
ADAMTS3,1,1,0,0,False
ADAMTS4,0,1,0,1,False
ADAMTS5,1,1,0,1,False
ADAMTS6,1,1,0,0,False
ADAMTS7,0,1,0,0,False
ADAMTS8,0,1,0,0,False
ADAMTS9,0,1,0,0,False
ADAMTS9-AS1,0,1,0,0,False
ADAMTS9-AS2,1,1,0,0,False
ADAMTSL1,1,1,0,0,False
ADAMTSL2,0,1,0,0,False
ADAMTSL3,0,1,0,0,False
ADAMTSL4,0,1,0,0,False
ADAMTSL4-AS1,0,1,0,0,False
ADAMTSL4-AS2,0,1,0,0,False
ADAP1,0,1,0,0,False
ADAP2,0,1,0,0,False
ADAR,0,1,0,0,False
ADARB1,0,1,0,0,False
