"sex","tool","modality","organ","organId","as","as_id","cell_id","cell_label","cell_count","percentage","annotation_label","annotation_label_id","cell_label2"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:0000192","Smooth muscle",63,0.0017855118467294,"Sm Activated Stress Response","AZ:0000118","smooth muscle cell:activated stress response"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:0000192","Smooth muscle",63,0.0017855118467294,"Smooth Muscle","AZ:0000123","smooth muscle cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:0000192","Smooth muscle",63,0.0017855118467294,"Sm Activated Stress Response","AZ:0000325","smooth muscle cell:activated stress response"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:0000192","Smooth muscle",63,0.0017855118467294,"Hsmc1","AZ:0000535","smooth muscle cell:1"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:0000192","Smooth muscle",63,0.0017855118467294,"Hsmc2","AZ:0000536","smooth muscle cell:2"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0000236","B cells",7287.79,0.005237850470843,"B Cells","AZ:0000080","B cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0000236","B cells",7287.79,0.005237850470843,"B Activated","AZ:0000658","B cell:activated"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0009089","Pericytes",271.133,0.024620253164557,"Pericytes","AZ:0000115","lung pericyte"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:4028004","Alveolar fibroblasts",41238,0.0725829446449001,"Alveolar Fibroblasts","AZ:0000072","alveolar type 1 fibroblast cell"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:4028006","Adventitial fibroblasts",245.847,0.0322151898734177,"Adventitial Fibroblasts","AZ:0000071","alveolar type 2 fibroblast cell"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0000576","Classical monocytes",360,0.0227848101265823,"Hmono1","AZ:0000528","monocyte:1"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0000576","Classical monocytes",360,0.0227848101265823,"Hmono2","AZ:0000529","monocyte:2"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:4028003","EC aerocyte capillary",13429.14,0.00965173629756298,"Ec Aerocyte Capillary","AZ:0000090","alveolar capillary type 2 endothelial cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0000492","CD4 T cells",30228,0.0532042594385286,"Htcell1","AZ:0000537","CD4-positive helper T cell:1"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0000492","CD4 T cells",30228,0.0532042594385286,"Htcell2","AZ:0000538","CD4-positive helper T cell:2"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:0000576","Classical monocytes",116,0.00328760911461286,"Hmono1","AZ:0000528","monocyte:1"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:0000576","Classical monocytes",116,0.00328760911461286,"Hmono2","AZ:0000529","monocyte:2"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0000186","Myofibroblasts",82.68,0.0172638436482085,"Myofibroblasts","AZ:0000110","myofibroblast cell"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0000158","Club (nasal)",0.697,0.0000632911392405063,"Club (Nasal)","AZ:0000085","club cell:nasal"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0000158","Club (nasal)",0.697,0.0000632911392405063,"Club (Non-Nasal)","AZ:0000086","club cell:non-nasal"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0000158","Club (nasal)",0.697,0.0000632911392405063,"Transitional Club At2","AZ:0000127","club cell:transitional alveolar type 2 epithelial cell"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0000158","Club (nasal)",0.697,0.0000632911392405063,"Transitional Club At2","AZ:0000360","club:transitional AT2"
