dataset_id,organ,is_rui_registered,assay_type,publication_status,group_name,uuid
SNT493.TKJD.678,Lung (Left),True,RNAseq,Published,TMC - University of Pittsburgh,fcf72357d083cb8edcfce70f5ba055ef
SNT253.MKNV.455,Lung (Right),True,RNAseq,Published,TMC - University of Pittsburgh,a0f2be2b1dfa1178fa926259bf5a455f
SNT498.XKRG.893,Lung (Left),True,RNAseq,Published,TMC - University of Pittsburgh,13f4861319fe3877df8547985531b68a
SNT387.XHRC.584,Lung (Left),True,RNAseq,Published,TMC - University of Pittsburgh,f36a92547e40168acf6eaea8d67a8156
SNT794.NKKN.985,Lung (Left),True,RNAseq,Published,TMC - University of Pittsburgh,987ece04d279e404746ff5b20a38f897
SNT497.HRKZ.873,Lung (Right),True,RNAseq,Published,TMC - University of Pittsburgh,b2ce30b5584da15b5a65e5d77efe6042
SNT985.MXCW.829,Lung (Left),True,RNAseq,Published,TMC - University of Pittsburgh,34a0018b6fa3edb402c6d292c391eeea
SNT676.SXTP.348,Lung (Left),True,RNAseq,Published,TMC - University of Pittsburgh,a7d7c4a55b1724fd5a2de0b59d44df42
SNT658.LQWB.482,Lung (Right),True,RNAseq,Published,TMC - University of Pittsburgh,c4ae7c9526b825304dfa93bbc51acd33
SNT577.KHFG.572,Lung (Left),True,RNAseq,Published,TMC - University of Pittsburgh,57a17d129a7587153d8f9ac160fac40f
SNT478.QGSL.332,Lung (Right),True,RNAseq,Published,TMC - University of Pittsburgh,47ff2e5391a97f1df0ebeddaeed98b9b
SNT489.CCVQ.324,Lung (Right),True,RNAseq,Published,TMC - University of Pittsburgh,93c809496bcc6479991ba891c7e631f7
SNT776.QQGW.623,Lung (Right),True,RNAseq,Published,TMC - University of Pittsburgh,3c0a1c7216859aef385acdae61e5664b
SNT479.PCMQ.829,Lung (Right),True,RNAseq,Published,TMC - University of Pittsburgh,9e38a62ecb941eb541b37aa1b6f20d1c
SNT872.FZFV.997,Lung (Right),True,RNAseq,Published,TMC - University of Pittsburgh,c6f27f85266e2bd5fac6a031629b9c08
SNT236.VDFB.848,Lung (Right),True,RNAseq,Published,TMC - University of Pittsburgh,a167f4e692c528529c45744a28b4ecf2
SNT473.ZJKW.727,Lung (Right),True,RNAseq,Published,TMC - University of Pittsburgh,f3ab2dcc03a07316ddae2701167e8940
SNT289.MKGJ.729,Lung (Right),True,RNAseq,Published,TMC - University of Pittsburgh,e6809748838cc5b46a27c72e0738ae3c
SNT328.LPZQ.663,Lung (Right),True,RNAseq,Published,TMC - University of Pittsburgh,653f3b77bd46d698b42a382bb1a46634
SNT945.WCZH.229,Lung (Right),True,RNAseq,Published,TMC - University of Pittsburgh,af85e9d60e4123ef00d4fd285f771eab
SNT467.NJWW.933,Lung (Right),True,RNAseq,Published,TMC - University of Pittsburgh,a7799ef1131293a5e115ecc4aa7295ce
SNT933.RZWH.988,Lung (Right),True,RNAseq,Published,TMC - University of Pittsburgh,8012a6fb017546428335e492ce187c21
SNT644.VGFZ.956,Lung (Right),True,RNAseq,Published,TMC - University of Pittsburgh,b752af085628867b11be2c60ca89530a
SNT449.GRWG.598,Lung (Right),True,RNAseq,Published,TMC - University of Pittsburgh,111a7b6cbaee55195fa6e76ddaa213fd
SNT367.FWNH.537,Lung (Right),True,RNAseq,Published,TMC - University of Pittsburgh,5f1eec1f99347b0e1be1cb241b8a4b4c
SNT826.HWLM.338,Lung (Right),True,RNAseq,Published,TMC - University of Pittsburgh,4e37e43ae473eea649fd24f13ff18c4c
SNT773.DRXG.427,Lung (Right),True,RNAseq,Published,TMC - University of Pittsburgh,ae48ddf510c54304d1bf69cd5f64df11
SNT835.GVZP.228,Lung (Left),True,RNAseq,Published,TMC - University of Pittsburgh,ef795b89fed48a6c9bc008e6e9436b6d
SNT339.DQDB.424,Lung (Left),True,RNAseq,Published,TMC - University of Pittsburgh,872bed924ffad2f8067d692f026ad74b
SNT983.FMRG.925,Lung (Left),True,RNAseq,Published,TMC - University of Pittsburgh,e89369c6e0cbc8bfef9148f52fa5f9c7
SNT397.SPGW.436,Lung (Left),True,RNAseq,Published,TMC - University of Pittsburgh,0c70552e21f1833533855fc6d22ecdd6
SNT792.KVKQ.344,Lung (Left),True,RNAseq,Published,TMC - University of Pittsburgh,50682aa4d156698ebdbf283ba1100480
SNT432.BQVB.669,Lung (Left),True,RNAseq,Published,TMC - University of Pittsburgh,c90f2e31ec814f8442ad461802f9933e
SNT493.RSKL.732,Lung (Left),True,RNAseq,Published,TMC - University of Pittsburgh,3a2bbd2655a309eeeac59a01a800b460
SNT372.NMWW.264,Lung (Left),True,RNAseq,Published,TMC - University of Pittsburgh,576d1130e9d5c8cfda2cf151a8b7f571
SNT627.QHCP.732,Lung (Left),True,RNAseq,Published,TMC - University of Pittsburgh,cc7e9185f1091bd4861726329f7f5b6e
SNT657.STXR.948,Lung (Left),True,RNAseq,Published,TMC - University of Pittsburgh,70bb5c5fa67f417178c3b4a11c72e988
SNT829.BMNR.662,Lung (Left),True,RNAseq,Published,TMC - University of Pittsburgh,95a9fe6ccf8da635159c6b507ee47f54
SNT536.TGBM.294,Lung (Left),True,RNAseq,Published,TMC - University of Pittsburgh,3d189bebc9b92751c20cddb92c99de5f
SNT757.BGFN.798,Lung (Left),True,RNAseq,Published,TMC - University of Pittsburgh,f04087d49247113e138c21bc486e7f55
SNT255.PFMR.382,Lung (Left),True,RNAseq,Invalid,TMC - University of Pittsburgh,f7415ce801e4106c5be0fbbad4b7ba0d
