dataset_id,organ,is_rui_registered,assay_type,publication_status,group_name,uuid
HBM498.HNDQ.927,Skin,False,Cell DIVE [DeepCell + SPRM],Processing,General Electric RTI,f7e7e0283d2d6edd7a3fb3884fcf7dd1
HBM278.LDBD.578,Skin,False,Cell DIVE [DeepCell + SPRM],Error,General Electric RTI,537b44c38d5a113974c6011afe59afc4
HBM388.NKRL.427,Placenta,False,2D Imaging Mass Cytometry [Image Pyramid],Error,TMC - University of California San Diego focusing on female reproduction,560ed3fd42f00cddd8e81b9d457432fb
HBM234.BVTP.358,Placenta,False,RNAseq [Salmon],QA,TMC - University of California San Diego focusing on female reproduction,815633e155a4c5aa368f7c749ead599f
HBM659.GMSX.726,Placenta,False,RNAseq [Salmon],QA,TMC - University of California San Diego focusing on female reproduction,88ff518297adc03b6dbd998d7a4a733b
HBM258.GZJQ.498,Placenta,False,RNAseq [Salmon],QA,TMC - University of California San Diego focusing on female reproduction,1a5b02501abb4086c51954c17c671833
HBM759.SPVP.899,Placenta,False,RNAseq [Salmon],QA,TMC - University of California San Diego focusing on female reproduction,9c7ee9633dae16bc1ffc4620774aed7d
HBM349.XXCR.376,Placenta,False,RNAseq [Salmon],QA,TMC - University of California San Diego focusing on female reproduction,7021cbb1c2976814faa775d6e61e69e7
HBM696.XVWM.383,Placenta,False,RNAseq [Salmon],QA,TMC - University of California San Diego focusing on female reproduction,57f1408566d228e134a32b097508aa1d
HBM622.BZFP.889,Placenta,False,RNAseq [Salmon],QA,TMC - University of California San Diego focusing on female reproduction,795a9a751f1e4f3c74cc7c6812ac07be
HBM488.TDHX.447,Placenta,False,RNAseq [Salmon],QA,TMC - University of California San Diego focusing on female reproduction,1071dcacbe8d0b35319ea0a2fe2757a4
HBM594.FMVT.996,Placenta,False,RNAseq [Salmon],QA,TMC - University of California San Diego focusing on female reproduction,a4453d7a06313b1e55db56261c33d3ea
HBM623.QRZM.876,Placenta,False,RNAseq [Salmon],QA,TMC - University of California San Diego focusing on female reproduction,104a39b9f7a1d7fb56c1a83a0e9bd213
HBM642.QKVX.744,Placenta,False,RNAseq [Salmon],QA,TMC - University of California San Diego focusing on female reproduction,af425b065b3a3465e8b15d193a987b9a
HBM546.THJN.955,Placenta,False,RNAseq [Salmon],QA,TMC - University of California San Diego focusing on female reproduction,6c73141b904cedbeeda6c66db55f97aa
HBM739.XQHR.464,Placenta,False,RNAseq [Salmon],QA,TMC - University of California San Diego focusing on female reproduction,5a5dfcc637be39aad5a0ecf647fcf42b
HBM265.JXLN.983,Placenta,False,RNAseq [Salmon],QA,TMC - University of California San Diego focusing on female reproduction,01ba735921d2f85cae737c8992f9c2f6
HBM839.PFLV.263,Placenta,False,RNAseq [Salmon],QA,TMC - University of California San Diego focusing on female reproduction,9eea83adc701add0c04f53e171a4f52d
HBM783.TDKF.524,Placenta,False,RNAseq [Salmon],QA,TMC - University of California San Diego focusing on female reproduction,4bc84ec8c870c1e12f2f1c7e9b46a843
HBM337.JPKZ.649,Placenta,False,RNAseq [Salmon],QA,TMC - University of California San Diego focusing on female reproduction,77cabe9f03aa2a209ac957f966c0a678
HBM685.VRDG.555,Placenta,False,RNAseq [Salmon],QA,TMC - University of California San Diego focusing on female reproduction,69642ff69960d687fc1d7360740a0173
HBM422.QGCV.423,Placenta,False,RNAseq,QA,TMC - University of California San Diego focusing on female reproduction,fe530b5c673986cd5d7bb72e562637b2
HBM822.RLND.545,Placenta,False,RNAseq [Salmon],QA,TMC - University of California San Diego focusing on female reproduction,609a4125deb8b96f3776e3f5182b3971
HBM628.FBRD.885,Placenta,False,RNAseq [Salmon],QA,TMC - University of California San Diego focusing on female reproduction,5297304299fef09b4f0a45d9a376762b
HBM643.LVQG.632,Placenta,False,RNAseq [Salmon],QA,TMC - University of California San Diego focusing on female reproduction,f66fc48f8d3b9225550f26a13f950230
HBM693.VSGC.287,Placenta,False,RNAseq [Salmon],QA,TMC - University of California San Diego focusing on female reproduction,e3d6274a5a232541a61c07c6e9b7ea38
HBM542.TVRS.338,Placenta,False,RNAseq,QA,TMC - University of California San Diego focusing on female reproduction,12930ce1ae9ff15cb6d2e74ea7daea6d
HBM699.ZVNG.629,Placenta,False,RNAseq,QA,TMC - University of California San Diego focusing on female reproduction,c0793a20fabf88133ada53963ba55350
HBM864.VQHT.444,Placenta,False,RNAseq,QA,TMC - University of California San Diego focusing on female reproduction,74c711db4e3e9617e7a27fa5b3ee05da
HBM836.WFJT.934,Placenta,False,RNAseq [Salmon],QA,TMC - University of California San Diego focusing on female reproduction,dad2a4a009045e782f1187c9d9b99d7d
HBM273.GTVV.569,Placenta,False,RNAseq,QA,TMC - University of California San Diego focusing on female reproduction,066631802e174166f250e8048ed44e93
HBM243.CVDB.884,Placenta,False,RNAseq [Salmon],QA,TMC - University of California San Diego focusing on female reproduction,02e9d6b5fbfae42a2b815db097d81c29
HBM748.WVQK.753,Placenta,False,RNAseq,QA,TMC - University of California San Diego focusing on female reproduction,2e52a93172a9b6d35f77d3f4031d2b8f
HBM437.JMNL.794,Placenta,False,RNAseq,QA,TMC - University of California San Diego focusing on female reproduction,9514cf526c88d2db2f71e1c28c0b33f3
HBM833.SPNJ.497,Placenta,False,RNAseq [Salmon],QA,TMC - University of California San Diego focusing on female reproduction,e7c091063525ce1c35a6009b576ba2b1
